CHEMICAL,CAS#,Formula,MolecularWeight,C_atoms,Carbon_Fraction
N-Nitrosodimethylamine,62-75-9,C2H6N2O,74.08,2,32.43
N-Nitrosodiphenylamine,86-30-6,C12H10N2O,198.22,12,72.71
Nitrilotriacetic acid,139-13-9,C6H9NO6,191.14,6,37.7
Nitrobenzene,98-95-3,C6H5NO2,123.11,6,58.54
Nitromethane,75-52-5,CH3NO2,61.04,1,19.68
Oxydemeton-methyl,301-12-2,C6H15O4PS2,246.3,6,29.26
Pendimethalin,40487-42-1,C13H19N3O4,281.31,13,55.51
Pentachlorobenzene,608-93-5,C6HCl5,250.3,6,28.79
Pentachloroethane,76-01-7,C2HCl5,202.3,2,11.87
Pentachlorophenol,87-86-5,C6HCl5O,266.3,6,27.06
Peracetic acid,79-21-0,C2H4O3,76.05,2,31.59
Perfluorobutane sulfonic acid,375-73-5,C4HF9O3S,300.1,4,16.01
Perfluorobutanoic acid,375-22-4,C4HF7O2,214.04,4,22.45
Perfluorohexanesulfonic acid,355-46-4,C6HF13O3S,400.12,6,18.01
Perfluorooctyl Ethylene,21652-58-4,C10H3F17,446.1,10,26.92
Permethrin,52645-53-1,C21H20Cl2O3,391.3,21,64.46
Phenanthrene,85-01-8,C14H10,178.23,14,94.35
Phenol,108-95-2,C6H6O,94.11,6,76.58
Phenolphthalein,77-09-8,C20H14O4,318.3,20,75.47
Phenothrin,26002-80-2,C23H26O3,350.4,23,78.84
Phenytoin,57-41-0,C15H12N2O2,252.27,15,71.42
Piperonyl butoxide,51-03-6,C19H30O5,338.4,19,67.44
Pirimiphos-methyl,29232-93-7,C11H20N3O3PS,305.34,11,43.27
"Poly(difluoromethylene), α-fluoro-ω-[2-(phosphonooxy)ethyl]-",65530-61-2,C3H6F3O4P,194.05,3,18.57
"Poly(oxy-1,2-ethanediyl), α-[2-[ethyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl]-ω-methoxy-",68958-60-1,C14H16F15NO4S,579.32,14,29.03
Propachlor,1918-16-7,C11H14ClNO,211.69,11,62.41
Propanil,709-98-8,C9H9Cl2NO,218.08,9,49.57
Propargite,2312-35-8,C19H26O4S,350.5,19,65.11
Propargyl alcohol,107-19-7,C3H4O,56.06,3,64.28
Propiconazole,60207-90-1,C15H17Cl2N3O2,342.2,15,52.65
Propionaldehyde,123-38-6,C3H6O,58.08,3,62.04
Propoxur,114-26-1,C11H15NO3,209.24,11,63.14
Propylene,115-07-1,C3H6,42.08,3,85.63
Propylene oxide,75-56-9,C3H6O,58.08,3,62.04
Propyleneimine,75-55-8,C3H7N,57.09,3,63.12
Resmethrin,10453-86-8,C22H26O3,338.4,22,78.09
"S,S,S-Tributyltrithiophosphate",78-48-8,C12H27OPS3,314.5,12,45.83
S-Ethyl dipropylthiocarbamate,759-94-4,C9H19NOS,189.32,9,57.1
Sethoxydim,74051-80-2,C17H29NO3S,327.5,17,62.35
Tebuthiuron,34014-18-1,C9H16N4OS,228.32,9,47.35
Tetrabromobisphenol A,79-94-7,C15H12Br4O2,543.9,15,33.12
Tetrachloroethylene,127-18-4,C2Cl4,165.8,2,14.49
Tetrafluoroethylene,116-14-3,C2F4,100.01,2,24.02
Tetramethrin,7696-12-0,C19H25NO4,331.4,19,68.86
Thioacetamide,62-55-5,C2H5NS,75.14,2,31.97
Thiophanate-ethyl,23564-06-9,C14H18N4O4S2,370.5,14,45.39
Thiophanate-methyl,23564-05-8,C12H14N4O4S2,342.4,12,42.09
Toluene,108-88-3,C7H8,92.14,7,91.25
"Toluene-2,4-diisocyanate",584-84-9,C9H6N2O2,174.16,9,62.07
"Toluene-2,6-diisocyanate",91-08-7,C9H6N2O2,174.16,9,62.07
Toxaphene,8001-35-2,C10H8Cl8,411.8,10,29.17
Tribenuron-methyl,101200-48-0,C15H17N5O6S,395.4,15,45.57
Trichloroethylene,79-01-6,C2HCl3,131.38,2,18.28
Trichlorofluoromethane (CFC-11),75-69-4,CCl3F,137.36,1,8.74
Triclopyr-triethylammonium salt,57213-69-1,C13H19Cl3N2O3,357.7,13,43.65
Triethylamine,121-44-8,C6H15N,101.19,6,71.22
"Tris(1,3-dichloro-2-propyl) phosphate",13674-87-8,C9H15Cl6O4P,430.9,9,25.09
"Tris(2,3-dibromopropyl) phosphate",126-72-7,C9H15Br6O4P,697.6,9,15.5
Urethane,51-79-6,C3H7NO2,89.09,3,40.45
Vinyl acetate,108-05-4,C4H6O2,86.09,4,55.81
